team_id,team_name,side,win,first_blood_time,total_match_time,positive_votes,negative_votes
726228,Vici Gaming,radiant,0,227,2446,2372,121
1520578,CDEC Gaming,dire,1,227,2446,2372,121
1838315,Team Secret,radiant,1,6,1648,4020,219
1333179,Cloud9 G2A,dire,0,6,1648,4020,219
46,Team Empire,radiant,1,251,1787,861,69
2201839,MVP HOT6,dire,0,251,1787,861,69
1375614,Newbee,radiant,1,0,3331,780,69
2201839,MVP HOT6,dire,0,0,3331,780,69
1838315,Team Secret,radiant,1,246,1992,7346,398
15,LGD-GAMING,dire,0,246,1992,7346,398
2201839,MVP HOT6,radiant,0,49,2036,633,44
1520578,CDEC Gaming,dire,1,49,2036,633,44
15,LGD-GAMING,radiant,1,1,2238,1436,123
1148284,MVP Phoenix,dire,0,1,2238,1436,123
39,Evil Geniuses,radiant,0,123,3049,4763,327
1883502,Virtus.pro,dire,1,123,3049,4763,327
3,compLexity Gaming,radiant,0,139,1575,876,45
15,LGD-GAMING,dire,1,139,1575,876,45
1148284,MVP Phoenix,radiant,0,0,2919,2248,212
3,compLexity Gaming,dire,1,0,2919,2248,212
2201839,MVP HOT6,radiant,0,262,2442,1612,151
4,EHOME,dire,1,262,2442,1612,151
4,EHOME,radiant,1,440,2335,1793,146
1375614,Newbee,dire,0,440,2335,1793,146
1333179,Cloud9 G2A,radiant,1,187,1607,374,27
1148284,MVP Phoenix,dire,0,187,1607,374,27
726228,Vici Gaming,radiant,0,111,2868,1830,125
1883502,Virtus.pro,dire,1,111,2868,1830,125
1838315,Team Secret,radiant,0,98,1871,7713,415
15,LGD-GAMING,dire,1,98,1871,7713,415
5,Invictus Gaming,radiant,0,127,1861,8525,630
1838315,Team Secret,dire,1,127,1861,8525,630
39,Evil Geniuses,radiant,1,225,3929,4137,249
726228,Vici Gaming,dire,0,225,3929,4137,249
4,EHOME,radiant,1,89,2811,2438,220
1520578,CDEC Gaming,dire,0,89,2811,2438,220
46,Team Empire,radiant,0,46,2008,2909,192
1520578,CDEC Gaming,dire,1,46,2008,2909,192
1375614,Newbee,radiant,1,230,1854,1289,193
46,Team Empire,dire,0,230,1854,1289,193
2201839,MVP HOT6,radiant,0,295,3011,2747,160
39,Evil Geniuses,dire,1,295,3011,2747,160
1375614,Newbee,radiant,0,0,2132,2921,183
1883502,Virtus.pro,dire,1,0,2132,2921,183
5,Invictus Gaming,radiant,0,364,2597,2267,248
15,LGD-GAMING,dire,1,364,2597,2267,248
2201839,MVP HOT6,radiant,0,97,4598,3536,268
1520578,CDEC Gaming,dire,1,97,4598,3536,268
726228,Vici Gaming,radiant,1,178,1666,666,76
1883502,Virtus.pro,dire,0,178,1666,666,76
39,Evil Geniuses,radiant,0,0,1948,1756,197
1375614,Newbee,dire,1,0,1948,1756,197
5,Invictus Gaming,radiant,1,103,1845,3547,959
36,Natus Vincere,dire,0,103,1845,3547,959
1148284,MVP Phoenix,radiant,0,0,1972,1830,145
1333179,Cloud9 G2A,dire,1,0,1972,1830,145
350190,Fnatic,radiant,1,430,1879,414,33
1148284,MVP Phoenix,dire,0,430,1879,414,33
36,Natus Vincere,radiant,1,162,2617,9224,486
350190,Fnatic,dire,0,162,2617,9224,486
1838315,Team Secret,radiant,1,49,1545,2291,99
3,compLexity Gaming,dire,0,49,1545,2291,99
39,Evil Geniuses,radiant,1,159,2711,2382,148
1375614,Newbee,dire,0,159,2711,2382,148
1148284,MVP Phoenix,radiant,0,109,2052,2793,163
1838315,Team Secret,dire,1,109,2052,2793,163
4,EHOME,radiant,1,59,3550,1800,160
1883502,Virtus.pro,dire,0,59,3550,1800,160
4,EHOME,radiant,1,150,4308,8997,570
46,Team Empire,dire,0,150,4308,8997,570
39,Evil Geniuses,radiant,1,210,3212,1799,108
2201839,MVP HOT6,dire,0,210,3212,1799,108
1148284,MVP Phoenix,radiant,1,144,1761,1235,925
5,Invictus Gaming,dire,0,144,1761,1235,925
39,Evil Geniuses,radiant,1,43,2518,3020,221
1520578,CDEC Gaming,dire,0,43,2518,3020,221
350190,Fnatic,radiant,0,0,1277,1139,131
1148284,MVP Phoenix,dire,1,0,1277,1139,131
46,Team Empire,radiant,1,50,2573,1973,147
1883502,Virtus.pro,dire,0,50,2573,1973,147
46,Team Empire,radiant,0,104,2186,2269,206
39,Evil Geniuses,dire,1,104,2186,2269,206
350190,Fnatic,radiant,0,66,2529,2530,255
5,Invictus Gaming,dire,1,66,2529,2530,255
46,Team Empire,radiant,1,133,2789,1377,82
1375614,Newbee,dire,0,133,2789,1377,82
726228,Vici Gaming,radiant,0,48,2828,2192,139
1520578,CDEC Gaming,dire,1,48,2828,2192,139
4,EHOME,radiant,0,193,2443,2682,176
39,Evil Geniuses,dire,1,193,2443,2682,176
4,EHOME,radiant,0,17,2626,1936,135
1520578,CDEC Gaming,dire,1,17,2626,1936,135
36,Natus Vincere,radiant,0,0,3701,15205,1084
1333179,Cloud9 G2A,dire,1,0,3701,15205,1084
15,LGD-GAMING,radiant,1,171,1886,5094,960
36,Natus Vincere,dire,0,171,1886,5094,960
3,compLexity Gaming,radiant,1,95,2220,1557,157
1333179,Cloud9 G2A,dire,0,95,2220,1557,157
3,compLexity Gaming,radiant,1,293,2762,1177,123
350190,Fnatic,dire,0,293,2762,1177,123
1838315,Team Secret,radiant,1,0,2151,9318,1027
36,Natus Vincere,dire,0,0,2151,9318,1027
350190,Fnatic,radiant,0,311,3024,4310,173
15,LGD-GAMING,dire,1,311,3024,4310,173
4,EHOME,radiant,1,238,2339,2188,186
2201839,MVP HOT6,dire,0,238,2339,2188,186
1883502,Virtus.pro,radiant,0,198,2949,2351,256
46,Team Empire,dire,1,198,2949,2351,256
5,Invictus Gaming,radiant,0,263,5867,6033,1023
350190,Fnatic,dire,1,263,5867,6033,1023
36,Natus Vincere,radiant,0,138,2509,7259,1085
15,LGD-GAMING,dire,1,138,2509,7259,1085
726228,Vici Gaming,radiant,1,134,2371,2815,151
46,Team Empire,dire,0,134,2371,2815,151
2201839,MVP HOT6,radiant,0,260,2527,1211,72
1883502,Virtus.pro,dire,1,260,2527,1211,72
46,Team Empire,radiant,0,104,2788,4302,207
726228,Vici Gaming,dire,1,104,2788,4302,207
1148284,MVP Phoenix,radiant,1,95,4365,3050,1032
5,Invictus Gaming,dire,0,95,4365,3050,1032
1883502,Virtus.pro,radiant,0,243,2038,1525,175
1375614,Newbee,dire,1,243,2038,1525,175
350190,Fnatic,radiant,0,106,2398,2284,213
1333179,Cloud9 G2A,dire,1,106,2398,2284,213
1375614,Newbee,radiant,0,49,1856,726,70
726228,Vici Gaming,dire,1,49,1856,726,70
15,LGD-GAMING,radiant,1,153,1537,1050,59
3,compLexity Gaming,dire,0,153,1537,1050,59
46,Team Empire,radiant,1,158,3067,1902,106
1883502,Virtus.pro,dire,0,158,3067,1902,106
1333179,Cloud9 G2A,radiant,1,350,2049,3562,987
5,Invictus Gaming,dire,0,350,2049,3562,987
5,Invictus Gaming,radiant,0,435,1500,2410,1093
1333179,Cloud9 G2A,dire,1,435,1500,2410,1093
2201839,MVP HOT6,radiant,0,100,2948,3644,226
726228,Vici Gaming,dire,1,100,2948,3644,226
1333179,Cloud9 G2A,radiant,1,13,2178,1983,185
350190,Fnatic,dire,0,13,2178,1983,185
1838315,Team Secret,radiant,1,80,1764,4316,389
5,Invictus Gaming,dire,0,80,1764,4316,389
1375614,Newbee,radiant,1,155,1598,407,30
4,EHOME,dire,0,155,1598,407,30
1838315,Team Secret,radiant,1,4,3003,3570,157
3,compLexity Gaming,dire,0,4,3003,3570,157
5,Invictus Gaming,radiant,1,384,1735,795,60
3,compLexity Gaming,dire,0,384,1735,795,60
4,EHOME,radiant,0,309,3647,2642,259
726228,Vici Gaming,dire,1,309,3647,2642,259
5,Invictus Gaming,radiant,1,46,2485,5365,309
15,LGD-GAMING,dire,0,46,2485,5365,309
1333179,Cloud9 G2A,radiant,0,109,2571,6645,315
1838315,Team Secret,dire,1,109,2571,6645,315
39,Evil Geniuses,radiant,1,6,2128,2488,193
1883502,Virtus.pro,dire,0,6,2128,2488,193
1883502,Virtus.pro,radiant,1,35,2508,1383,78
1520578,CDEC Gaming,dire,0,35,2508,1383,78
39,Evil Geniuses,radiant,1,263,2898,2205,135
1520578,CDEC Gaming,dire,0,263,2898,2205,135
3,compLexity Gaming,radiant,1,54,1851,4484,2138
36,Natus Vincere,dire,0,54,1851,4484,2138
1375614,Newbee,radiant,0,223,1839,432,61
2201839,MVP HOT6,dire,1,223,1839,432,61
5,Invictus Gaming,radiant,0,147,2271,3101,300
3,compLexity Gaming,dire,1,147,2271,3101,300
36,Natus Vincere,radiant,1,162,1443,5013,196
1148284,MVP Phoenix,dire,0,162,1443,5013,196
36,Natus Vincere,radiant,0,27,2507,7010,863
1838315,Team Secret,dire,1,27,2507,7010,863
1375614,Newbee,radiant,1,258,2468,1880,140
726228,Vici Gaming,dire,0,258,2468,1880,140
15,LGD-GAMING,radiant,1,42,4205,32342,751
1333179,Cloud9 G2A,dire,0,42,4205,32342,751
1148284,MVP Phoenix,radiant,1,251,2524,6123,723
36,Natus Vincere,dire,0,251,2524,6123,723
1883502,Virtus.pro,radiant,0,52,2572,5495,872
46,Team Empire,dire,1,52,2572,5495,872
1838315,Team Secret,radiant,1,351,2346,16867,749
350190,Fnatic,dire,0,351,2346,16867,749
36,Natus Vincere,radiant,0,65,3846,13132,1516
3,compLexity Gaming,dire,1,65,3846,13132,1516
1838315,Team Secret,radiant,0,313,2260,4956,525
1148284,MVP Phoenix,dire,1,313,2260,4956,525
15,LGD-GAMING,radiant,1,69,1741,3584,230
350190,Fnatic,dire,0,69,1741,3584,230
726228,Vici Gaming,radiant,0,107,3226,2784,363
2201839,MVP HOT6,dire,1,107,3226,2784,363
46,Team Empire,radiant,1,32,2109,1785,181
39,Evil Geniuses,dire,0,32,2109,1785,181
1883502,Virtus.pro,radiant,1,84,1457,1208,79
2201839,MVP HOT6,dire,0,84,1457,1208,79
1333179,Cloud9 G2A,radiant,0,352,4000,16268,583
15,LGD-GAMING,dire,1,352,4000,16268,583
1375614,Newbee,radiant,0,19,2155,533,52
1520578,CDEC Gaming,dire,1,19,2155,533,52
39,Evil Geniuses,radiant,0,143,2816,2633,171
4,EHOME,dire,1,143,2816,2633,171
36,Natus Vincere,radiant,0,208,1718,4261,1575
5,Invictus Gaming,dire,1,208,1718,4261,1575
1375614,Newbee,radiant,0,0,1970,685,58
1520578,CDEC Gaming,dire,1,0,1970,685,58
726228,Vici Gaming,radiant,0,160,3116,2379,192
4,EHOME,dire,1,160,3116,2379,192
1148284,MVP Phoenix,radiant,0,126,1939,1009,69
15,LGD-GAMING,dire,1,126,1939,1009,69
4,EHOME,radiant,0,250,2399,3980,382
46,Team Empire,dire,1,250,2399,3980,382
46,Team Empire,radiant,0,0,2387,1908,249
1883502,Virtus.pro,dire,1,0,2387,1908,249
1333179,Cloud9 G2A,radiant,0,0,1524,8987,303
36,Natus Vincere,dire,1,0,1524,8987,303
2201839,MVP HOT6,radiant,0,0,1902,1229,98
46,Team Empire,dire,1,0,1902,1229,98
4,EHOME,radiant,1,149,2420,1687,193
1883502,Virtus.pro,dire,0,149,2420,1687,193
3,compLexity Gaming,radiant,1,0,1839,557,55
1148284,MVP Phoenix,dire,0,0,1839,557,55
350190,Fnatic,radiant,0,0,2264,1387,136
3,compLexity Gaming,dire,1,0,2264,1387,136
350190,Fnatic,radiant,1,62,1717,12166,1091
1838315,Team Secret,dire,0,62,1717,12166,1091
3,compLexity Gaming,radiant,1,55,2985,1577,155
1333179,Cloud9 G2A,dire,0,55,2985,1577,155
1883502,Virtus.pro,radiant,1,156,2173,692,46
1520578,CDEC Gaming,dire,0,156,2173,692,46
350190,Fnatic,radiant,1,98,4222,10260,942
36,Natus Vincere,dire,0,98,4222,10260,942
726228,Vici Gaming,radiant,0,199,1680,2395,251
39,Evil Geniuses,dire,1,199,1680,2395,251
46,Team Empire,radiant,0,255,2651,1876,108
1520578,CDEC Gaming,dire,1,255,2651,1876,108
